ὁ λογος|the word
οι λογο|the words
ὁ Μαρκος|Mark
ὁ Ἰησους|Jesus
του|of the
οὑτος|this, he
οὑτος ὁ λογος|this word
οὑτοι|these
ἀληθης|true
ἐστιν|he is, she is, it is
εἰσιν|they are
ἠν|he was, she was, it was
γραφει|he writes, she writes
γραφει τον λογον|he writes the word
γραφει τους λογους|he writes the words
λεγω|I am saying, I say
γραφω|I write
ἀκουω|I hear, I understand
ἀναγινωσκω|I read
ὁ προφητης|the prophet
το βιβλιον|the book
λεγων|saying
ὁ λεγων|the person saying
ὁ θεος|the god, God
ὁ ἀνθρωπος|the man
ὁ ἀποστολος|the apostle, the envoy
ὁ θρονος|the throne, the seat
ὁ οὐρανος|the sky, heaven
αὐτος|he, it
λεγω τον αὐτον λογον|I say the same word
αὐτος ὁ θεος|God himself
ἀλλα|but (ἀλλ᾽ before a vowel)
οὐ, οὐκ, οὐχ|not
γραφω|I write, I am writing
ἀκουω|I hear, I listen, I understand
ἀκουω τον λογον|I hear the word
ἀκουω αὐτου|I hear him
ἀποστελλω|I send out, I send
γινωσκω|I know
εὑρισκω|I find
ἐχω|I have
λαμβανω|I take I receive, I accept
ἀναγινωσκω|I read
πιστευω|I believe, I trust
πιστευω τοις λογοις|I believe the words
πιστευω τῳ Ἰησου|I believe in Jesus, I trust Jesus
μακαριος|blessed, happy
ὁ Μαρια|Mary
ὁ Φιλιππος|Philip
ὁ Λουκας|Luke
ἡ καρδια|heart, mind, attitude
ἡ ἀμαρτια|the sin, sin
ἡ ἐκκλησια|the congregation, the church (always people)
ἡ ἀληθεια|the truth
ἀληθης|true
ἡ βασιλεια|the kingdom, the reign
βασιλευς|king
ἡ ἡμερα|the day
ἡ γη|the earth, the land, the soil
ἡ ἐπιστολη|the letter, the epistle
αὑτη|this
γραφει ταυτην την ἐπιστολην|he writes this letter
γραφει την ἐπιστολην ταυτην|he writes this letter
ἐν ταυτῃ τῃ ἡμερα|on this day
ἡμεις|we
ὑμεις|you
μετα|with
μεθ᾽ ὑμων|with you
ὁ ἀγγελος|the messenger, the angel
ἡ ἀγγελια|the message
ἀπο|from
ἀπ᾽ἀρχης|from the beginning
ἀπαγγελλω|I announce, I bring back to report, I declare
ὁ Κυριος|the Lord, the owner
ὁ Χριστος|the Anointed One, the Messiah, the Christ
ἡ κοινωνια|the fellowship, the partnership, the sharing
ἡ σκοτια|the darkness
ὁς|who, which, he who
ἣ|who, which, she who
ὃ|who, that which, what
και|and, also, even
